municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
IXTLAHUACÁN DE LOS MEMBRILLOS,61,0,12,0,0,11,38,2018
IXTLAHUACÁN DEL RÍO,20,0,0,0,0,0,20,2018
JALOSTOTITLÁN,151,50,27,54,0,20,0,2018
JAMAY,78,0,0,0,15,26,37,2018
JESÚS MARÍA,12,0,0,0,0,0,12,2018
JILOTLÁN DE LOS DOLORES,6,0,0,0,0,0,6,2018
JOCOTEPEC,395,99,76,67,14,37,102,2018
JUCHITLÁN,6,0,0,0,6,0,0,2018
LA BARCA,356,0,0,125,53,109,69,2018
LA HUERTA,790,151,240,165,72,53,109,2018
LA MANZANILLA DE LA PAZ,114,0,0,0,0,0,114,2018
LAGOS DE MORENO,852,157,143,203,93,0,256,2018
MAGDALENA,133,0,0,0,0,0,133,2018
MASCOTA,355,51,79,114,78,33,0,2018
MAZAMITLA,869,115,233,133,10,0,378,2018
MEXTICACÁN,10,0,0,0,0,0,10,2018
MEZQUITIC,49,0,0,0,20,0,29,2018
MIXTLÁN,40,0,0,0,0,0,40,2018
OCOTLÁN,444,0,96,25,0,81,242,2018
OJUELOS DE JALISCO,158,0,0,0,0,0,158,2018
PIHUAMO,34,0,0,0,0,0,34,2018
PONCITLÁN,95,0,0,4,0,73,18,2018
PUERTO VALLARTA,23995,6465,4084,1597,664,381,10804,2018
QUITUPAN,16,0,0,0,0,0,16,2018
SAN DIEGO DE ALEJANDRÍA,45,0,0,19,0,0,26,2018
SAN GABRIEL,42,0,0,0,0,0,42,2018
SAN IGNACIO CERRO GORDO,114,0,0,0,0,0,114,2018
SAN JUAN DE LOS LAGOS,3708,539,435,871,799,975,89,2018
SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2018
SAN JULIÁN,202,0,69,133,0,0,0,2018
SAN MARCOS,21,0,0,0,0,0,21,2018
SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2018
SAN MARTÍN HIDALGO,64,0,0,0,37,27,0,2018
SAN MIGUEL EL ALTO,169,0,104,35,0,30,0,2018
SAN PEDRO TLAQUEPAQUE,1088,298,215,575,0,0,0,2018
SAN SEBASTIÁN DEL OESTE,141,24,6,74,6,0,31,2018
SANTA MARÍA DEL ORO,11,0,0,0,0,0,11,2018
SAYULA,144,51,66,0,27,0,0,2018
TALA,122,0,0,0,0,0,122,2018
TALPA DE ALLENDE,1481,0,26,56,0,40,1359,2018
TAMAZULA DE GORDIANO,81,0,0,0,0,0,81,2018
TAPALPA,702,35,102,55,0,0,510,2018
TECALITLÁN,31,0,11,20,0,0,0,2018
TECOLOTLÁN,70,0,0,0,12,58,0,2018
TENAMAXTLÁN,28,0,0,0,0,0,28,2018
TEOCALTICHE,99,0,55,0,44,0,0,2018
TEOCUITATLÁN DE CORONA,6,0,0,0,0,0,6,2018
TEPATITLÁN DE MORELOS,529,13,267,103,0,0,146,2018
TEQUILA,494,20,133,70,33,119,119,2018
TEUCHITLÁN,56,0,0,0,0,0,56,2018
TIZAPÁN EL ALTO,24,0,0,0,0,8,16,2018
TLAJOMULCO DE ZÚÑIGA,341,10,135,139,0,0,57,2018
TOLIMÁN,16,0,0,0,0,0,16,2018
TOMATLÁN,110,0,32,26,52,0,0,2018
TONALÁ,423,14,0,348,61,0,0,2018
TONAYA,38,0,0,0,21,0,17,2018
TOTATICHE,120,0,0,0,114,6,0,2018
TOTOTLÁN,17,0,0,0,0,0,17,2018
TUXCUECA,21,0,0,0,0,21,0,2018
TUXPAN,51,0,0,13,0,18,20,2018
UNIÓN DE SAN ANTONIO,28,0,0,0,0,0,28,2018
UNIÓN DE TULA,83,0,0,19,0,0,64,2018
VALLE DE GUADALUPE,50,0,0,0,0,0,50,2018
VALLE DE JUÁREZ,58,0,0,0,0,0,58,2018
VILLA CORONA,107,0,0,0,0,0,107,2018
VILLA GUERRERO,17,0,0,0,17,0,0,2018
VILLA HIDALGO,280,0,0,0,0,0,280,2018
VILLA PURIFICACIÓN,74,0,0,0,0,0,74,2018
YAHUALICA DE GONZÁLEZ GALLO,111,11,36,24,40,0,0,2018
ZACOALCO DE TORRES,127,0,15,0,0,112,0,2018
ZAPOPAN,7458,1599,3780,1917,82,71,9,2018
ZAPOTILTIC,90,0,0,0,0,0,90,2018
ZAPOTITLÁN DE VADILLO,20,0,0,0,0,0,20,2018
ZAPOTLÁN DEL REY,20,20,0,0,0,0,0,2018
ZAPOTLÁN EL GRANDE,495,0,136,209,118,32,0,2018
ZAPOTLANEJO,188,0,18,153,17,0,0,2018
MUNICIPIO,76405,14757,18910,12900,5142,5269,19427,2019
ACATIC,86,0,0,10,0,12,64,2019
ACATLÁN DE JUÁREZ,14,0,0,14,0,0,0,2019
AHUALULCO DE MERCADO,138,29,42,0,0,0,67,2019
AMACUECA,8,0,0,0,0,0,8,2019
AMATITÁN,46,0,0,16,0,30,0,2019
ARANDAS,416,14,60,30,59,177,76,2019
ATEMAJAC DE BRIZUELA,108,42,13,8,41,4,0,2019
ATENGO,12,0,0,0,0,0,12,2019
ATENGUILLO,63,0,0,0,6,0,57,2019
ATOYAC,32,12,0,0,16,4,0,2019
AUTLÁN DE NAVARRO,411,0,32,174,143,62,N/D,2019
AYOTLÁN,44,0,0,44,0,0,0,2019
AYUTLA,74,0,0,0,0,0,74,2019
BOLAÑOS,43,0,0,25,10,8,0,2019
CABO CORRIENTES,183,20,29,90,16,0,28,2019
CAÑADAS DE OBREGÓN,43,33,10,0,0,0,0,2019
CASIMIRO CASTILLO,66,0,0,34,32,0,0,2019
CHAPALA,1343,136,863,95,163,72,14,2019
CHIMALTITÁN,34,0,25,0,9,0,0,2019
CHIQUILISTLÁN,20,0,0,0,0,0,20,2019
CIHUATLÁN,2563,329,501,887,385,257,204,2019
COCULA,161,0,18,0,0,0,143,2019
COLOTLÁN,162,0,62,38,0,47,15,2019
CONCEPCIÓN DE BUENOS AIRES,76,76,0,0,0,0,0,2019
CUAUTITLÁN DE GARCÍA B.,28,0,0,0,0,28,0,2019
CUAUTLA,29,0,0,0,20,0,9,2019
CUQUÍO,61,0,61,0,0,0,0,2019
DEGOLLADO,47,0,12,35,0,0,0,2019
EL ARENAL,66,0,0,0,0,0,66,2019
EL GRULLO,141,0,60,54,10,17,N/D,2019
EL LIMÓN,22,0,0,13,0,0,9,2019
EL SALTO,530,0,422,108,0,0,N/D,2019
ENCARNACIÓN DE DÍAZ,111,0,75,20,16,0,0,2019
ETZATLÁN,97,11,0,0,0,0,86,2019
GÓMEZ FARÍAS,44,0,0,0,0,0,44,2019
GUACHINANGO,39,0,0,0,0,0,39,2019
GUADALAJARA,15336,3034,5404,2895,1146,2306,551,2019
HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2019
HUEJÚCAR,42,0,0,0,0,42,0,2019
HUEJUQUILLA EL ALTO,68,0,0,60,8,0,0,2019
IXTLAHUACÁN DE LOS M.,58,0,0,58,0,0,0,2019
IXTLAHUACÁN DEL RÍO,222,0,0,0,0,0,222,2019
JAMAY,108,0,8,22,15,18,45,2019
JESÚS MARÍA,12,0,0,0,0,0,12,2019
JILOTLÁN DE LOS DOLORES,6,0,0,0,0,0,6,2019
JOCOTEPEC,482,111,94,68,14,44,151,2019
JUCHITLÁN,6,0,0,0,6,0,0,2019
LA BARCA,350,0,16,131,25,109,69,2019
LA HUERTA,1558,72,922,152,412,N/D,N/D,2019
LA MANZANILLA DE LA PAZ,184,19,90,22,0,15,38,2019
LAGOS DE MORENO,863,157,143,203,93,0,267,2019
MAGDALENA,133,0,0,0,0,0,133,2019
MASCOTA,401,51,65,143,98,42,2,2019
MAZAMITLA,1043,148,243,164,10,0,478,2019
MEXTICACÁN,10,0,0,0,0,0,10,2019
MEZQUITIC,49,0,0,0,20,0,29,2019
MIXTLÁN,51,0,0,0,0,0,51,2019
OCOTLÁN,377,0,143,109,0,0,125,2019
OJUELOS DE JALISCO,158,0,0,0,0,0,158,2019
PIHUAMO,34,0,0,0,0,0,34,2019
PONCITLÁN,95,0,0,4,0,73,18,2019
PUERTO VALLARTA,25495,7534,4546,1873,642,412,10488,2019
QUITUPAN,16,0,0,0,0,0,16,2019
SAN DIEGO DE ALEJANDRÍA,45,0,0,19,0,0,26,2019
SAN GABRIEL,244,0,0,0,0,0,244,2019
SAN IGNACIO CERRO GORDO,114,0,0,0,0,0,114,2019
SAN JUAN DE LOS LAGOS,3734,539,461,871,799,975,89,2019
SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2019
SAN JULIÁN,298,0,69,188,0,0,41,2019
SAN MARCOS,21,0,0,0,0,0,21,2019
SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2019
SAN MARTÍN HIDALGO,80,0,0,40,40,0,0,2019
SAN MIGUEL EL ALTO,150,0,81,32,0,37,0,2019
SAN SEBASTIÁN DEL OESTE,434,71,6,300,12,0,45,2019
SANTA MARÍA DEL ORO,11,0,0,0,0,0,11,2019
SAYULA,144,51,66,0,27,0,0,2019
TALA,123,0,0,0,0,0,123,2019
TALPA DE ALLENDE,1581,0,0,0,0,0,1581,2019
TAMAZULA DE GORDIANO,81,0,0,0,0,0,81,2019
TAPALPA,1155,95,0,0,0,0,1060,2019
TECALITLÁN,65,0,0,20,0,0,45,2019
TECOLOTLÁN,70,0,0,0,12,58,0,2019
TENAMAXTLÁN,28,0,0,0,0,0,28,2019
TEOCALTICHE,99,0,55,0,44,0,0,2019
TEOCUITATLÁN DE CORONA,6,0,0,0,0,0,6,2019
TEPATITLÁN DE MORELOS,568,13,263,56,0,0,236,2019
TEQUILA,578,158,187,95,83,35,20,2019
TEUCHITLÁN,60,0,0,10,0,0,50,2019
TIZAPÁN EL ALTO,25,0,0,0,0,25,N/D,2019
TLAJOMULCO DE ZÚÑIGA,341,10,135,139,0,0,57,2019
TLAQUEPAQUE,1313,297,317,619,0,0,80,2019
TOLIMÁN,16,0,0,0,0,0,16,2019
TOMATLÁN,163,0,50,45,47,11,10,2019
TONALÁ,403,14,0,328,61,0,N/D,2019
TONAYA,38,0,0,0,24,0,14,2019
TOTATICHE,120,0,0,0,109,11,0,2019
TOTOTLÁN,33,0,0,0,0,0,33,2019
TUXCUECA,21,0,0,0,0,21,N/D,2019
TUXPAN,51,0,0,13,0,18,20,2019
UNIÓN DE SAN ANTONIO,89,0,0,0,0,0,89,2019
UNIÓN DE TULA,98,0,19,26,0,0,53,2019
VALLE DE GUADALUPE,50,0,0,0,0,0,50,2019
VALLE DE JUÁREZ,58,0,0,0,0,0,58,2019
VILLA CORONA,107,0,0,0,0,0,107,2019
VILLA GUERRERO,17,0,0,0,17,0,0,2019
VILLA HIDALGO,338,0,0,110,0,0,228,2019
VILLA PURIFICACIÓN,65,0,36,0,6,10,13,2019
YAHUALICA DE GONZÁLEZ GALLO,142,11,42,24,40,0,25,2019
ZACOALCO DE TORRES,127,0,15,12,0,100,0,2019
ZAPOPAN,7139,1607,2860,1697,291,107,577,2019
ZAPOTILTIC,90,0,18,0,0,0,72,2019
ZAPOTITLÁN DE VADILLO,20,0,0,0,0,0,20,2019
ZAPOTLÁN DEL REY,28,13,0,15,0,0,0,2019
ZAPOTLÁN EL GRANDE,537,0,136,319,58,24,N/D,2019
ZAPOTLANEJO,211,0,18,176,17,0,N/D,2019
MUNICIPIO,Total,"Cinco
estrellas *","Cuatro
estrellas","Tres 
estrellas","Dos
estrellas","Una
estrella","[Sin 
categoría **]",2020
ACATIC,86,0,0,10,0,12,64,2020
ACATLAN DE JUAREZ,14,0,0,14,0,0,0,2020
AHUALULCO DE MERCADO,138,29,42,0,0,0,67,2020
AMACUECA,8,0,0,0,0,0,8,2020
AMECA,173,0,65,52,28,28,0,2020
ARANDAS,451,14,60,30,47,177,123,2020
ATEMAJAC DE BRIZUELA,108,42,13,8,41,4,0,2020
ATENGO,12,0,0,0,0,0,12,2020
ATENGUILLO,55,0,0,0,6,0,49,2020
ATOTONILCO EL ALTO,182,0,25,41,0,0,116,2020
ATOYAC,32,12,0,0,16,4,0,2020
AUTLÁN DE NAVARRO,399,0,32,174,131,62,0,2020
AYOTLÁN,44,0,0,44,0,0,0,2020
AYUTLA,74,0,0,0,0,0,74,2020
BOLAÑOS,43,0,0,25,10,8,0,2020
CABO CORRIENTES,183,20,29,90,16,0,28,2020
CAÑADAS DE OBREGÓN,43,33,10,0,0,0,0,2020
CASIMIRO CASTILLO,66,0,0,34,32,0,0,2020
CHAPALA,926,159,451,109,118,89,0,2020
CHIMALTITÁN,34,0,25,0,9,0,0,2020
CHIQUILISTLÁN,20,0,0,0,0,0,20,2020
CIHUATLAN,2563,329,501,887,385,257,204,2020
COCULA,161,0,18,0,0,0,143,2020
CONCEPCIÓN DE BUENOS AIRES,76,76,0,0,0,0,0,2020
CUAUTITLÁN DE GARCÍA BARRAGÁN,28,0,0,0,0,28,0,2020
CUAUTLA,29,0,0,0,20,0,9,2020
CUQUIO,61,0,61,0,0,0,0,2020
DEGOLLADO,47,0,12,35,0,0,0,2020
EL ARENAL,66,0,0,0,0,0,66,2020
EL GRULLO ,141,0,60,54,10,17,N/D,2020
EL SALTO,530,0,422,108,0,0,N/D,2020
ENCARNACIÓN DE DÍAZ,109,0,75,16,18,0,0,2020
ETZATLAN,97,11,0,0,0,0,86,2020
GÓMEZ FARIAS,44,0,0,0,0,0,44,2020
GUACHINANGO,47,0,0,0,0,0,47,2020
GUADALAJARA,15409,3060,5539,2927,1146,2273,464,2020
HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2020
HUEJÚCAR,42,0,0,0,0,42,0,2020
HUEJUQUILLA EL ALTO,68,0,0,60,8,0,0,2020
IXTLAHUACÁN DE LOS MEMBRILLOS,58,0,0,58,0,0,0,2020
IXTLAHUACÁN DEL RÍO,222,0,0,0,0,0,222,2020
JALOSTOTITLÁN,170,50,27,54,0,20,19,2020
JESUS MARIA,51,0,0,0,0,0,51,2020
JILOTLAN DE LOS DOLORES,6,0,0,0,0,0,6,2020
JOCOTEPEC,512,111,94,68,14,44,181,2020
JUCHITLÁN,6,0,0,0,6,0,0,2020
LA BARCA,350,0,16,131,25,109,69,2020
LA HUERTA,1558,72,922,152,412,N/D,ND,2020
LA MANZANILLA DE LA PAZ,184,19,90,22,0,15,38,2020
LAGOS DE MORENO,856,150,143,203,93,0,267,2020
MAGDALENA,133,0,0,0,0,0,133,2020
MASCOTA,414,51,78,143,98,42,2,2020
MAZAMITLA,2818,28,139,83,0,0,2568,2020
MEXTICACAN,14,0,0,0,0,0,14,2020
MEZQUITIC,52,0,0,0,20,0,32,2020
MIXTLAN,51,0,0,0,0,0,51,2020
OCOTLÁN,377,0,143,109,0,0,125,2020
OJUELOS,216,0,0,0,0,18,198,2020
PIHUAMO,34,0,0,0,0,0,34,2020
PONCITLÁN,95,0,0,4,0,73,18,2020
PUERTO VALLARTA,25582,7534,4525,1873,684,412,10554,2020
QUITUPAN,16,0,0,0,0,0,16,2020
SAN DIEGO DE ALEJANDRIA,45,0,0,19,0,12,14,2020
SAN GABRIEL,244,0,0,0,0,0,244,2020
SAN IGNACIO CERRO GORDO,114,0,0,0,62,0,52,2020
SAN JUAN DE LOS LAGOS,3790,160,517,741,953,977,442,2020
SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2020
SAN JULIAN,277,0,69,188,0,0,20,2020
SAN MARCOS,21,0,0,0,0,0,21,2020
SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2020
SAN MARTIN HIDALGO,80,0,0,40,40,0,0,2020
SAN MIGUEL EL ALTO,150,0,81,32,0,37,0,2020
SAN SEBASTIÁN DEL OESTE,431,66,15,300,12,8,30,2020
SANTA MARIA DEL ORO,11,0,0,0,0,0,11,2020
SAYULA,144,51,66,0,27,0,0,2020
TALA,136,0,13,0,0,0,123,2020
TALPA DE ALLENDE,1581,0,0,0,0,0,1581,2020
TAMAZULA DE GORDIANO,113,0,32,24,0,0,57,2020
TAPALPA,1155,95,0,0,0,0,1060,2020
TECALITLAN,79,0,0,20,0,0,59,2020
TECOLOTLÁN,70,0,0,0,12,58,0,2020
TENAMAXTLAN,28,0,0,0,0,0,28,2020
TEOCALTICHE,99,0,55,0,44,0,0,2020
TEOCUITATLAN DE CORONA,6,0,0,0,0,0,6,2020
TEPATITLÁN DE MORELOS,670,46,271,56,0,0,297,2020
TEQUILA,578,158,187,95,83,35,20,2020
TEUCHITLAN,60,0,0,10,0,0,50,2020
TIZAPÁN EL ALTO,110,0,0,0,0,110,0,2020
TLAJOMULCO,346,14,135,139,0,0,58,2020
TLAQUEPAQUE,1313,297,317,619,0,0,80,2020
TOLIMÁN ,16,0,0,0,0,0,16,2020
TOMATLAN,163,0,50,45,47,11,10,2020
TONALA,594,18,0,350,31,0,195,2020
TONAYA,39,0,0,0,39,0,0,2020
TOTATICHE,120,0,0,0,109,11,0,2020
TOTOTLÁN,33,0,0,0,0,0,33,2020
TUXCUECA,21,0,0,0,0,21,N/D,2020
TUXPAN,86,0,0,13,0,18,55,2020
UNION DE SAN ANTONIO,89,0,0,0,0,0,89,2020
UNION DE TULA,98,0,19,26,0,0,53,2020
VALLE DE GUADALUPE,25,0,0,0,0,0,25,2020
VALLE DE JUAREZ,58,0,0,0,0,0,58,2020
VILLA CORONA,107,0,0,0,0,0,107,2020
VILLA GUERRERO,17,0,0,0,17,0,0,2020
VILLA HIDALGO,372,0,18,39,28,72,215,2020
VILLA PURIFICACIÓN,65,0,36,0,6,10,13,2020
YAHUALICA DE GONZÁLEZ GALLO,142,11,42,24,40,0,25,2020
ZACOALCO DE TORRES,127,0,15,12,0,100,0,2020
ZAPOPAN,7097,1607,2856,1673,277,107,577,2020
ZAPOTILTIC,54,0,18,0,0,0,36,2020
ZAPOTITLAN DE VADILLO,20,0,0,0,0,0,20,2020
ZAPOTLAN DEL REY,28,13,0,15,0,0,0,2020
ZAPOTLAN EL GRANDE,537,0,137,239,60,101,0,2020
ZAPOTLANEJO,211,0,18,176,17,0,N/D,2020
