municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
CHIMALTITÁN,0,2,0,0,0,0,0,2013
COLOTLÁN,3,3,0,0,0,0,0,2013
HUEJÚCAR,2,1,0,0,0,0,0,2013
HUEJUQUILLA EL ALTO,1,1,0,0,0,0,0,2013
MEZQUITIC,1,0,0,0,0,0,0,2013
SAN MARTÍN DE BOLAÑOS,0,1,0,0,0,0,0,2013
SANTA MARÍA DE LOS ÁNGELES,0,1,0,0,0,0,0,2013
TOTATICHE,1,0,0,0,0,0,0,2013
VILLA GUERRERO,1,0,0,0,0,0,0,2013
ENCARNACIÓN DE DÍAZ,6,7,0,0,0,0,0,2013
LAGOS DE MORENO,15,9,1,0,0,0,0,2013
SAN DIEGO DE ALEJANDRÍA,2,0,0,0,0,0,0,2013
SAN JUAN DE LOS LAGOS,8,2,0,0,0,0,0,2013
TEOCALTICHE,5,0,0,0,0,0,0,2013
UNIÓN DE SAN ANTONIO,2,1,0,0,0,0,0,2013
VILLA HIDALGO,1,1,0,0,0,0,0,2013
ACATIC,3,0,0,0,0,0,0,2013
ARANDAS,11,1,0,0,0,0,0,2013
CAÑADAS DE OBREGÓN,1,3,0,0,0,0,0,2013
JALOSTOTITLÁN,4,1,0,0,0,0,0,2013
JESÚS MARÍA,4,0,0,0,0,0,0,2013
MEXTICACÁN,2,1,0,0,0,0,0,2013
SAN IGNACIO CERRO GORDO,1,0,0,0,0,0,0,2013
SAN JULIÁN,1,1,0,0,0,0,0,2013
SAN MIGUEL EL ALTO,4,0,0,0,0,0,0,2013
TEPATITLÁN DE MORELOS,22,5,1,0,0,0,1,2013
VALLE DE GUADALUPE,3,0,0,0,0,0,0,2013
YAHUALICA DE GONZÁLEZ GALLO,4,1,0,0,0,0,0,2013
ATOTONILCO EL ALTO,7,4,0,0,0,0,0,2013
AYOTLÁN,3,3,0,0,0,0,0,2013
CHAPALA,4,2,2,2,0,0,40,2013
DEGOLLADO,5,3,0,0,0,0,0,2013
JAMAY,3,1,0,0,0,0,11,2013
JOCOTEPEC,2,3,0,0,0,0,1,2013
LA BARCA,5,3,0,1,0,0,0,2013
OCOTLÁN,8,2,1,0,0,0,0,2013
PONCITLÁN,6,0,0,0,0,0,32,2013
TIZAPÁN EL ALTO,2,1,0,0,0,0,3,2013
TOTOTLÁN,3,0,0,0,0,0,0,2013
TUXCUECA,0,0,0,0,0,0,1,2013
ZAPOTLÁN DEL REY,1,0,0,0,0,0,1,2013
MAZAMITLA,2,0,0,0,0,0,0,2013
TAMAZULA DE GORDIANO,4,3,0,0,0,0,0,2013
TECALITLÁN,2,0,0,0,0,0,0,2013
AMACUECA,0,1,0,0,0,0,0,2013
SAYULA,3,2,0,0,0,0,0,2013
TAPALPA,1,0,1,0,0,0,0,2013
TUXPAN,3,2,0,0,0,0,0,2013
ZACOALCO DE TORRES,4,2,0,0,0,0,0,2013
ZAPOTILTIC,3,2,0,0,0,0,0,2013
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,0,2013
ZAPOTLÁN EL GRANDE,7,1,0,1,0,0,0,2013
CHIQUILISTLÁN,0,1,0,0,0,0,0,2013
EL GRULLO,2,0,0,0,0,0,0,2013
EL LIMÓN,0,2,0,0,0,0,0,2013
JUCHITLÁN,1,0,0,0,0,0,0,2013
TECOLOTLÁN,3,0,0,0,0,0,0,2013
TONAYA,2,0,0,0,0,0,0,2013
UNIÓN DE TULA,1,0,0,0,0,0,0,2013
AUTLÁN DE NAVARRO,3,4,0,0,0,0,0,2013
CASIMIRO CASTILLO,1,2,0,0,0,0,0,2013
CIHUATLÁN,2,2,1,1,1,0,5,2013
LA HUERTA,0,2,0,0,0,0,0,2013
VILLA PURIFICACIÓN,0,6,0,0,0,0,0,2013
CABO CORRIENTES,1,0,0,0,0,1,1,2013
PUERTO VALLARTA,92,2,3,39,1,3,389,2013
TOMATLÁN,0,1,0,0,0,0,0,2013
ATENGUILLO,1,1,0,0,0,0,0,2013
AYUTLA,1,0,0,0,0,0,0,2013
MASCOTA,2,1,0,0,0,0,3,2013
TALPA DE ALLENDE,0,3,0,0,0,0,0,2013
AHUALULCO DE MERCADO,2,1,0,0,0,0,0,2013
AMATITÁN,0,1,0,0,0,0,0,2013
AMECA,3,1,0,0,0,0,0,2013
COCULA,2,0,0,0,0,0,0,2013
EL ARENAL,0,2,0,0,0,0,0,2013
ETZATLÁN,2,3,0,0,0,0,0,2013
MAGDALENA,2,0,0,0,0,0,0,2013
SAN MARCOS,0,1,0,0,0,0,0,2013
SAN MARTÍN HIDALGO,3,0,0,0,0,0,0,2013
TALA,6,9,0,0,0,0,0,2013
TEQUILA,2,3,0,0,0,0,9,2013
TEUCHITLÁN,0,5,0,0,0,0,0,2013
ACATLÁN DE JUÁREZ,1,1,0,0,0,0,0,2013
CUQUÍO,3,0,0,0,0,0,0,2013
EL SALTO,1,0,0,0,0,0,0,2013
GUADALAJARA,316,2,2,44,0,0,24,2013
IXTLAHUACÁN DE LOS MEMBRILLOS,0,2,0,0,0,0,0,2013
IXTLAHUACÁN DEL RÍO,3,0,0,0,0,0,1,2013
JUANACATLÁN,1,0,0,0,0,0,0,2013
SAN PEDRO TLAQUEPAQUE,22,1,0,0,0,0,4,2013
TLAJOMULCO DE ZÚÑIGA,7,3,1,6,0,12,0,2013
TONALÁ,10,1,0,0,0,0,0,2013
VILLA CORONA,2,5,0,0,0,0,0,2013
ZAPOPAN,123,10,3,10,0,0,5,2013
ZAPOTLANEJO,6,2,0,0,0,0,0,2013
CHIMALTITÁN,0,2,0,0,0,0,0,2014
COLOTLÁN,3,3,0,0,0,0,0,2014
HUEJÚCAR,2,1,0,0,0,0,0,2014
HUEJUQUILLA EL ALTO,1,1,0,0,0,0,0,2014
MEZQUITIC,1,0,0,0,0,0,0,2014
SAN MARTÍN DE BOLAÑOS,0,1,0,0,0,0,0,2014
SANTA MARÍA DE LOS ÁNGELES,0,1,0,0,0,0,0,2014
TOTATICHE,1,0,0,0,0,0,0,2014
VILLA GUERRERO,1,0,0,0,0,0,0,2014
ENCARNACIÓN DE DÍAZ,6,7,0,0,0,0,0,2014
LAGOS DE MORENO,15,9,1,0,0,0,0,2014
SAN DIEGO DE ALEJANDRÍA,2,0,0,0,0,0,0,2014
SAN JUAN DE LOS LAGOS,8,2,0,0,0,0,0,2014
TEOCALTICHE,5,0,0,0,0,0,0,2014
UNIÓN DE SAN ANTONIO,2,1,0,0,0,0,0,2014
VILLA HIDALGO,1,1,0,0,0,0,0,2014
ACATIC,3,0,0,0,0,0,0,2014
ARANDAS,11,1,0,0,0,0,0,2014
CAÑADAS DE OBREGÓN,1,3,0,0,0,0,0,2014
JALOSTOTITLÁN,4,1,0,0,0,0,0,2014
JESÚS MARÍA,4,0,0,0,0,0,0,2014
MEXTICACÁN,2,1,0,0,0,0,0,2014
SAN IGNACIO CERRO GORDO,1,0,0,0,0,0,0,2014
SAN JULIÁN,1,1,0,0,0,0,0,2014
SAN MIGUEL EL ALTO,4,0,0,0,0,0,0,2014
TEPATITLÁN DE MORELOS,22,5,1,0,0,0,1,2014
VALLE DE GUADALUPE,3,0,0,0,0,0,0,2014
YAHUALICA DE GONZÁLEZ GALLO,4,1,0,0,0,0,0,2014
ATOTONILCO EL ALTO,7,4,0,0,0,0,0,2014
AYOTLÁN,3,3,0,0,0,0,0,2014
CHAPALA,4,2,2,2,0,0,40,2014
DEGOLLADO,5,3,0,0,0,0,0,2014
JAMAY,3,1,0,0,0,0,11,2014
JOCOTEPEC,2,3,0,0,0,0,1,2014
LA BARCA,5,3,0,1,0,0,0,2014
OCOTLÁN,8,2,1,0,0,0,0,2014
PONCITLÁN,6,0,0,0,0,0,32,2014
TIZAPÁN EL ALTO,2,1,0,0,0,0,3,2014
TOTOTLÁN,3,0,0,0,0,0,0,2014
TUXCUECA,0,0,0,0,0,0,1,2014
ZAPOTLÁN DEL REY,1,0,0,0,0,0,1,2014
MAZAMITLA,2,0,0,0,0,0,0,2014
TAMAZULA DE GORDIANO,4,3,0,0,0,0,0,2014
TECALITLÁN,2,0,0,0,0,0,0,2014
AMACUECA,0,1,0,0,0,0,0,2014
SAYULA,3,2,0,0,0,0,0,2014
TAPALPA,1,0,1,0,0,0,0,2014
TUXPAN,3,2,0,0,0,0,0,2014
ZACOALCO DE TORRES,4,2,0,0,0,0,0,2014
ZAPOTILTIC,3,2,0,0,0,0,0,2014
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,0,2014
ZAPOTLÁN EL GRANDE,7,1,0,1,0,0,0,2014
CHIQUILISTLÁN,0,1,0,0,0,0,0,2014
EL GRULLO,2,0,0,0,0,0,0,2014
EL LIMÓN,0,2,0,0,0,0,0,2014
JUCHITLÁN,1,0,0,0,0,0,0,2014
TECOLOTLÁN,3,0,0,0,0,0,0,2014
TONAYA,2,0,0,0,0,0,0,2014
UNIÓN DE TULA,1,0,0,0,0,0,0,2014
AUTLÁN DE NAVARRO,3,4,0,0,0,0,0,2014
CASIMIRO CASTILLO,1,2,0,0,0,0,0,2014
CIHUATLÁN,2,2,1,1,1,0,5,2014
LA HUERTA,0,2,0,0,0,0,0,2014
VILLA PURIFICACIÓN,0,6,0,0,0,0,0,2014
CABO CORRIENTES,1,0,0,0,0,1,1,2014
PUERTO VALLARTA,92,2,3,39,1,3,389,2014
TOMATLÁN,0,1,0,0,0,0,0,2014
ATENGUILLO,1,1,0,0,0,0,0,2014
AYUTLA,1,0,0,0,0,0,0,2014
MASCOTA,2,1,0,0,0,0,3,2014
TALPA DE ALLENDE,0,3,0,0,0,0,0,2014
AHUALULCO DE MERCADO,2,1,0,0,0,0,0,2014
AMATITÁN,0,1,0,0,0,0,0,2014
AMECA,3,1,0,0,0,0,0,2014
COCULA,2,0,0,0,0,0,0,2014
EL ARENAL,0,2,0,0,0,0,0,2014
ETZATLÁN,2,3,0,0,0,0,0,2014
MAGDALENA,2,0,0,0,0,0,0,2014
SAN MARCOS,0,1,0,0,0,0,0,2014
SAN MARTÍN HIDALGO,3,0,0,0,0,0,0,2014
TALA,6,9,0,0,0,0,0,2014
TEQUILA,2,3,0,0,0,0,9,2014
TEUCHITLÁN,0,5,0,0,0,0,0,2014
ACATLÁN DE JUÁREZ,1,1,0,0,0,0,0,2014
CUQUÍO,3,0,0,0,0,0,0,2014
EL SALTO,1,0,0,0,0,0,0,2014
GUADALAJARA,316,2,2,44,0,0,24,2014
IXTLAHUACÁN DE LOS MEMBRILLOS,0,2,0,0,0,0,0,2014
IXTLAHUACÁN DEL RÍO,3,0,0,0,0,0,1,2014
JUANACATLÁN,1,0,0,0,0,0,0,2014
SAN PEDRO TLAQUEPAQUE,22,1,0,0,0,0,4,2014
TLAJOMULCO DE ZÚÑIGA,7,3,1,6,0,12,0,2014
TONALÁ,10,1,0,0,0,0,0,2014
VILLA CORONA,2,5,0,0,0,0,0,2014
ZAPOPAN,123,10,3,10,0,0,5,2014
ZAPOTLANEJO,6,2,0,0,0,0,0,2014
CHIMALTITÁN,0,2,0,0,0,0,0,2015
COLOTLÁN,3,3,0,0,0,0,0,2015
HUEJÚCAR,2,1,0,0,0,0,0,2015
HUEJUQUILLA EL ALTO,1,1,0,0,0,0,0,2015
MEZQUITIC,1,0,0,0,0,0,0,2015
SAN MARTÍN DE BOLAÑOS,0,1,0,0,0,0,0,2015
SANTA MARÍA DE LOS ÁNGELES,0,1,0,0,0,0,0,2015
TOTATICHE,1,0,0,0,0,0,0,2015
VILLA GUERRERO,1,0,0,0,0,0,0,2015
ENCARNACIÓN DE DÍAZ,6,7,0,0,0,0,0,2015
LAGOS DE MORENO,15,9,1,0,0,0,0,2015
SAN DIEGO DE ALEJANDRÍA,2,0,0,0,0,0,0,2015
SAN JUAN DE LOS LAGOS,8,2,0,0,0,0,0,2015
TEOCALTICHE,5,0,0,0,0,0,0,2015
UNIÓN DE SAN ANTONIO,2,1,0,0,0,0,0,2015
VILLA HIDALGO,1,1,0,0,0,0,0,2015
ACATIC,3,0,0,0,0,0,0,2015
ARANDAS,11,1,0,0,0,0,0,2015
CAÑADAS DE OBREGÓN,1,3,0,0,0,0,0,2015
JALOSTOTITLÁN,4,1,0,0,0,0,0,2015
JESÚS MARÍA,4,0,0,0,0,0,0,2015
MEXTICACÁN,2,1,0,0,0,0,0,2015
SAN IGNACIO CERRO GORDO,1,0,0,0,0,0,0,2015
SAN JULIÁN,1,1,0,0,0,0,0,2015
SAN MIGUEL EL ALTO,4,0,0,0,0,0,0,2015
TEPATITLÁN DE MORELOS,22,5,1,0,0,0,1,2015
VALLE DE GUADALUPE,3,0,0,0,0,0,0,2015
YAHUALICA DE GONZÁLEZ GALLO,4,1,0,0,0,0,0,2015
ATOTONILCO EL ALTO,7,4,0,0,0,0,0,2015
AYOTLÁN,3,3,0,0,0,0,0,2015
CHAPALA,4,2,2,2,0,0,40,2015
DEGOLLADO,5,3,0,0,0,0,0,2015
JAMAY,3,1,0,0,0,0,11,2015
JOCOTEPEC,2,3,0,0,0,0,1,2015
LA BARCA,5,3,0,1,0,0,0,2015
OCOTLÁN,8,2,1,0,0,0,0,2015
PONCITLÁN,6,0,0,0,0,0,32,2015
TIZAPÁN EL ALTO,2,1,0,0,0,0,3,2015
TOTOTLÁN,3,0,0,0,0,0,0,2015
TUXCUECA,0,0,0,0,0,0,1,2015
ZAPOTLÁN DEL REY,1,0,0,0,0,0,1,2015
MAZAMITLA,2,0,0,0,0,0,0,2015
TAMAZULA DE GORDIANO,4,3,0,0,0,0,0,2015
TECALITLÁN,2,0,0,0,0,0,0,2015
AMACUECA,0,1,0,0,0,0,0,2015
SAYULA,3,2,0,0,0,0,0,2015
TAPALPA,1,0,1,0,0,0,0,2015
TUXPAN,3,2,0,0,0,0,0,2015
ZACOALCO DE TORRES,4,2,0,0,0,0,0,2015
ZAPOTILTIC,3,2,0,0,0,0,0,2015
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,0,2015
ZAPOTLÁN EL GRANDE,7,1,0,1,0,0,0,2015
CHIQUILISTLÁN,0,1,0,0,0,0,0,2015
EL GRULLO,2,0,0,0,0,0,0,2015
EL LIMÓN,0,2,0,0,0,0,0,2015
JUCHITLÁN,1,0,0,0,0,0,0,2015
TECOLOTLÁN,3,0,0,0,0,0,0,2015
TONAYA,2,0,0,0,0,0,0,2015
UNIÓN DE TULA,1,0,0,0,0,0,0,2015
AUTLÁN DE NAVARRO,3,4,0,0,0,0,0,2015
CASIMIRO CASTILLO,1,2,0,0,0,0,0,2015
CIHUATLÁN,2,2,1,1,1,0,5,2015
LA HUERTA,0,2,0,0,0,0,0,2015
VILLA PURIFICACIÓN,0,6,0,0,0,0,0,2015
CABO CORRIENTES,1,0,0,0,0,1,1,2015
PUERTO VALLARTA,92,2,3,39,1,3,389,2015
TOMATLÁN,0,1,0,0,0,0,0,2015
ATENGUILLO,1,1,0,0,0,0,0,2015
AYUTLA,1,0,0,0,0,0,0,2015
MASCOTA,2,1,0,0,0,0,3,2015
TALPA DE ALLENDE,0,3,0,0,0,0,0,2015
AHUALULCO DE MERCADO,2,1,0,0,0,0,0,2015
AMATITÁN,0,1,0,0,0,0,0,2015
AMECA,3,1,0,0,0,0,0,2015
COCULA,2,0,0,0,0,0,0,2015
EL ARENAL,0,2,0,0,0,0,0,2015
ETZATLÁN,2,3,0,0,0,0,0,2015
MAGDALENA,2,0,0,0,0,0,0,2015
SAN MARCOS,0,1,0,0,0,0,0,2015
SAN MARTÍN HIDALGO,3,0,0,0,0,0,0,2015
TALA,6,9,0,0,0,0,0,2015
TEQUILA,2,3,0,0,0,0,9,2015
TEUCHITLÁN,0,5,0,0,0,0,0,2015
ACATLÁN DE JUÁREZ,1,1,0,0,0,0,0,2015
CUQUÍO,3,0,0,0,0,0,0,2015
EL SALTO,1,0,0,0,0,0,0,2015
GUADALAJARA,316,2,2,44,0,0,24,2015
IXTLAHUACÁN DE LOS MEMBRILLOS,0,2,0,0,0,0,0,2015
IXTLAHUACÁN DEL RÍO,3,0,0,0,0,0,1,2015
JUANACATLÁN,1,0,0,0,0,0,0,2015
SAN PEDRO TLAQUEPAQUE,22,1,0,0,0,0,4,2015
TLAJOMULCO DE ZÚÑIGA,7,3,1,6,0,12,0,2015
TONALÁ,10,1,0,0,0,0,0,2015
VILLA CORONA,2,5,0,0,0,0,0,2015
ZAPOPAN,123,10,3,10,0,0,5,2015
ZAPOTLANEJO,6,2,0,0,0,0,0,2015
CHIMALTITÁN,0,2,0,0,0,0,0,2016
COLOTLÁN,3,3,0,0,0,0,0,2016
HUEJÚCAR,2,1,0,0,0,0,0,2016
HUEJUQUILLA EL ALTO,1,1,0,0,0,0,0,2016
MEZQUITIC,1,0,0,0,0,0,0,2016
SAN MARTÍN DE BOLAÑOS,0,1,0,0,0,0,0,2016
SANTA MARÍA DE LOS ÁNGELES,0,1,0,0,0,0,0,2016
TOTATICHE,1,0,0,0,0,0,0,2016
VILLA GUERRERO,1,0,0,0,0,0,0,2016
ENCARNACIÓN DE DÍAZ,6,7,0,0,0,0,0,2016
LAGOS DE MORENO,15,9,1,0,0,0,0,2016
SAN DIEGO DE ALEJANDRÍA,2,0,0,0,0,0,0,2016
SAN JUAN DE LOS LAGOS,8,2,0,0,0,0,0,2016
TEOCALTICHE,5,0,0,0,0,0,0,2016
UNIÓN DE SAN ANTONIO,2,1,0,0,0,0,0,2016
VILLA HIDALGO,1,1,0,0,0,0,0,2016
ACATIC,3,0,0,0,0,0,0,2016
ARANDAS,11,1,0,0,0,0,0,2016
CAÑADAS DE OBREGÓN,1,3,0,0,0,0,0,2016
JALOSTOTITLÁN,4,1,0,0,0,0,0,2016
JESÚS MARÍA,4,0,0,0,0,0,0,2016
MEXTICACÁN,2,1,0,0,0,0,0,2016
SAN IGNACIO CERRO GORDO,1,0,0,0,0,0,0,2016
SAN JULIÁN,1,1,0,0,0,0,0,2016
SAN MIGUEL EL ALTO,4,0,0,0,0,0,0,2016
TEPATITLÁN DE MORELOS,22,5,1,0,0,0,1,2016
VALLE DE GUADALUPE,3,0,0,0,0,0,0,2016
YAHUALICA DE GONZÁLEZ GALLO,4,1,0,0,0,0,0,2016
ATOTONILCO EL ALTO,7,4,0,0,0,0,0,2016
AYOTLÁN,3,3,0,0,0,0,0,2016
CHAPALA,4,2,2,2,0,0,40,2016
DEGOLLADO,5,3,0,0,0,0,0,2016
JAMAY,3,1,0,0,0,0,11,2016
JOCOTEPEC,2,3,0,0,0,0,1,2016
LA BARCA,5,3,0,1,0,0,0,2016
OCOTLÁN,8,2,1,0,0,0,0,2016
PONCITLÁN,6,0,0,0,0,0,32,2016
TIZAPÁN EL ALTO,2,1,0,0,0,0,3,2016
TOTOTLÁN,3,0,0,0,0,0,0,2016
TUXCUECA,0,0,0,0,0,0,1,2016
ZAPOTLÁN DEL REY,1,0,0,0,0,0,1,2016
MAZAMITLA,2,0,0,0,0,0,0,2016
TAMAZULA DE GORDIANO,4,3,0,0,0,0,0,2016
TECALITLÁN,2,0,0,0,0,0,0,2016
AMACUECA,0,1,0,0,0,0,0,2016
SAYULA,3,2,0,0,0,0,0,2016
TAPALPA,1,0,1,0,0,0,0,2016
TUXPAN,3,2,0,0,0,0,0,2016
ZACOALCO DE TORRES,4,2,0,0,0,0,0,2016
ZAPOTILTIC,3,2,0,0,0,0,0,2016
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,0,2016
ZAPOTLÁN EL GRANDE,7,1,0,1,0,0,0,2016
CHIQUILISTLÁN,0,1,0,0,0,0,0,2016
EL GRULLO,2,0,0,0,0,0,0,2016
EL LIMÓN,0,2,0,0,0,0,0,2016
JUCHITLÁN,1,0,0,0,0,0,0,2016
TECOLOTLÁN,3,0,0,0,0,0,0,2016
TONAYA,2,0,0,0,0,0,0,2016
UNIÓN DE TULA,1,0,0,0,0,0,0,2016
AUTLÁN DE NAVARRO,3,4,0,0,0,0,0,2016
CASIMIRO CASTILLO,1,2,0,0,0,0,0,2016
CIHUATLÁN,2,2,1,1,1,0,5,2016
LA HUERTA,0,2,0,0,0,0,0,2016
VILLA PURIFICACIÓN,0,6,0,0,0,0,0,2016
CABO CORRIENTES,1,0,0,0,0,1,1,2016
PUERTO VALLARTA,92,2,3,39,1,3,389,2016
TOMATLÁN,0,1,0,0,0,0,0,2016
ATENGUILLO,1,1,0,0,0,0,0,2016
AYUTLA,1,0,0,0,0,0,0,2016
MASCOTA,2,1,0,0,0,0,3,2016
TALPA DE ALLENDE,0,3,0,0,0,0,0,2016
AHUALULCO DE MERCADO,2,1,0,0,0,0,0,2016
AMATITÁN,0,1,0,0,0,0,0,2016
AMECA,3,1,0,0,0,0,0,2016
COCULA,2,0,0,0,0,0,0,2016
EL ARENAL,0,2,0,0,0,0,0,2016
ETZATLÁN,2,3,0,0,0,0,0,2016
MAGDALENA,2,0,0,0,0,0,0,2016
SAN MARCOS,0,1,0,0,0,0,0,2016
SAN MARTÍN HIDALGO,3,0,0,0,0,0,0,2016
TALA,6,9,0,0,0,0,0,2016
TEQUILA,2,3,0,0,0,0,9,2016
TEUCHITLÁN,0,5,0,0,0,0,0,2016
ACATLÁN DE JUÁREZ,1,1,0,0,0,0,0,2016
